CATEGORY,WELD_TYPE,THICKNESS_MM,STEEL_TYPE,SAMPLES,CURRENT_A,VOLTAGE_V,GAS_BAR,ROBOT_SPEED_CPM,DIRECTORY,SUBDIRS,SPLIT
Good,FILLET,7,FE410,19,165,21.0,4.5,25,2_good_weld_2_02-09-23_Fe410,2_good_weld_2_02-09-23_Fe410/04-01-23-0024-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_28_12-13-22_butt,good_weld_28_12-13-22_butt/12-13-22-0423-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_24_12-13-22_butt,good_weld_24_12-13-22_butt/12-13-22-0355-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_4_09-26-22_plane_plate,good_weld_4_09-26-22_plane_plate/09-26-22-0032-00,TRAIN
Good,NON_FILLET,7,FE410,20,165,21.0,4.0,30,good_weld_29_12-13-22_butt,good_weld_29_12-13-22_butt/12-13-22-0452-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_15_10-21-22_Plane_Plate,good_weld_15_10-21-22_Plane_Plate/10-21-22-0176-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_8_09-29-22_butt,good_weld_8_09-29-22_butt/09-29-22-0022-00,TRAIN
Good,FILLET,7,FE410,20,160,19.0,3.5,25,good_weld_5_02-16-23_Fe410,good_weld_5_02-16-23_Fe410/02-16-23-0087-00,TRAIN
Good,FILLET,7,FE410,19,165,21.0,4.5,25,2_good_weld_2_02-09-23_Fe410,2_good_weld_2_02-09-23_Fe410/04-01-23-0007-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_24_12-13-22_butt,good_weld_24_12-13-22_butt/12-13-22-0356-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_23_12-13-22_butt,good_weld_23_12-13-22_butt/12-13-22-0330-00,TRAIN
Good,NON_FILLET,7,FE410,17,160,22.0,4.0,30,good_weld_18_11-18-22_plane_plate,good_weld_18_11-18-22_plane_plate/11-20-22-0240-00,TRAIN
Good,NON_FILLET,7,FE410,20,180,24.0,4.0,30,good_weld_08_17_22_plane_plate,good_weld_08_17_22_plane_plate/08-17-22-0005-00,TRAIN
Good,NON_FILLET,7,FE410,20,180,24.0,4.0,30,good_weld_08_17_22_plane_plate,good_weld_08_17_22_plane_plate/08-17-22-0016-00,TRAIN
Good,NON_FILLET,7,FE410,16,160,21.0,4.0,30,good_weld_17_11-18-22_plane_plate,good_weld_17_11-18-22_plane_plate/11-18-22-0207-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_15_10-21-22_Plane_Plate,good_weld_15_10-21-22_Plane_Plate/10-21-22-0161-00,TRAIN
Good,FILLET,7,FE410,17,165,19.0,3.8,25,good_weld_6_02-17-23_Fe410,good_weld_6_02-17-23_Fe410/02-17-23-0110-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_28_12-13-22_butt,good_weld_28_12-13-22_butt/12-13-22-0428-00,TRAIN
Good,NON_FILLET,7,FE410,19,160,23.0,4.0,30,good_weld_9_09-29-22_butt,good_weld_9_09-29-22_butt/09-30-22-0059-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,23.0,4.0,30,good_weld_3_09-26-22_plane_plate,good_weld_3_09-26-22_plane_plate/09-26-22-0017-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0369-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,21.0,4.0,30,good_weld_27_12-13-22_butt,good_weld_27_12-13-22_butt/12-13-22-0417-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,22.0,4.0,30,good_weld_6_09-26-22_plane_plate,good_weld_6_09-26-22_plane_plate/09-26-22-0071-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,21.0,4.0,30,good_weld_11_10-20-22_Plane_Plate,good_weld_11_10-20-22_Plane_Plate/10-20-22-0093-00,TRAIN
Good,NON_FILLET,7,FE410,4,160,21.0,4.0,30,9_good_weld_plane_plate,9_good_weld_plane_plate/12-31-22-0013-00,TRAIN
Good,FILLET,7,FE410,20,150,18.0,3.8,25,good_weld_3_02-13-23_Fe410,good_weld_3_02-13-23_Fe410/02-13-23-0051-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0362-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,23.0,4.0,30,good_weld_5_09-26-22_plane_plate,good_weld_5_09-26-22_plane_plate/09-26-22-0043-00,TRAIN
Good,FILLET,7,FE410,20,150,18.0,3.8,25,good_weld_3_02-13-23_Fe410,good_weld_3_02-13-23_Fe410/02-13-23-0045-00,TRAIN
Good,NON_FILLET,7,FE410,17,160,22.0,4.0,30,good_weld_10_09-29-22_butt,good_weld_10_09-29-22_butt/09-30-22-0066-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,20.0,4.0,30,good_weld_25_12-13-22_butt,good_weld_25_12-13-22_butt/12-13-22-0363-00,TRAIN
Good,NON_FILLET,7,FE410,10,170,24.0,4.0,30,good_weld_16_11-18-22_plane_plate,good_weld_16_11-18-22_plane_plate/11-18-22-0184-00,TRAIN
Good,NON_FILLET,7,FE410,20,160,23.0,4.0,30,good_weld_5_09-26-22_plane_plate,good_weld_5_09-26-22_plane_plate/09-26-22-0042-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,20.0,4.0,30,good_weld_13_10-20-22_Plane_Plate,good_weld_13_10-20-22_Plane_Plate/10-20-22-0136-00,TRAIN
Good,NON_FILLET,7,FE410,20,165,21.0,4.0,30,good_weld_29_12-13-22_butt,good_weld_29_12-13-22_butt/12-13-22-0444-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_14_10-21-22_Plane_Plate,good_weld_14_10-21-22_Plane_Plate/10-21-22-0156-00,TRAIN
Good,NON_FILLET,7,FE410,20,170,22.0,4.0,30,good_weld_4_09-26-22_plane_plate,good_weld_4_09-26-22_plane_plate/09-26-22-0034-00,TRAIN
Good,NON_FILLET,7,FE410,20,155,19.0,4.0,30,good_weld_26_12-13-22_butt,good_weld_26_12-13-22_butt/12-13-22-0381-00,TRAIN
Good,NON_FILLET,7,FE410,17,160,22.0,4.0,30,good_weld_18_11-18-22_plane_plate,good_weld_18_11-18-22_plane_plate/11-20-22-0227-00,TRAIN
Good,NON_FILLET,7,FE410,20,165,21.0,4.0,30,good_weld_29_12-13-22_butt,good_weld_29_12-13-22_butt/12-13-22-0446-00,TRAIN
Good,NON_FILLET,7,FE410,20,150,19.0,4.0,30,good_weld_14_10-21-22_Plane_Plate,good_weld_14_10-21-22_Plane_Plate/10-21-22-0141-00,TRAIN
